name,type,start,duration,end
https://pnytimes.chartbeat.net/ping?h=video%40nytimes.com&g=16698&p=https%3A%2F%2Fvp.nyt.com%2Fvideo%2F2024%2F07%2F23%2F121254_1_22vid-harris-campaign_wg_1080p.mp4&i=&g0=Homepage&u=CpjfWDBDI8-9CeK5Mn&t=TCcwXC3xgA8C9Gr7QCzm5LCKnOxS&x=0&y=0&V=147&VS=H5&n=0&b=1134&_vd=46410&_vi=The%20New%20York%20Times%20-%20Breaking%20News%2C%20US%20News%2C%20World%20News%20and%20Videos&_vp=nytimes.com%2F&_vh=nytimes.com&_pu=DL5WfiBH3pv6BjD-7W&_pt=DUNm2LCC-aBuVht71Da95mMD9uxED&_pr=&_vdd=nytimes.com&_vt=ct&_vs=s2&_vcs=1&_vbr=-1&_vvs=502.859&_vpt=9895&_vaup=man&_vce=10&c=8.38&W=0&R=1&I=0&E=10&j=20&tz=240&_,resource,503988.2999999821,23.900000005960464,504012.1999999881
https://pnytimes.chartbeat.net/ping?h=nytimes.com&p=nytimes.com%2F&u=DL5WfiBH3pv6BjD-7W&d=nytimes.com&g=16698&g0=Homepage&g1=No%20Author&g6=%2F29390238%2Fnyt%2Fhomepage%7C%7C5&n=0&f=f0033&c=8.38&x=0&m=0&y=13649&o=1228&w=959&j=45&R=0&W=0&I=1&E=0&e=0&r=&PA=https%3A%2F%2Fwww.nytimes.com%2F&b=1130&t=DUNm2LCC-aBuVht71Da95mMD9uxED&V=147&tz=240&_acct=anon&_vi=&_vp=https://vp.nyt.com/video/2024/07/17/120988_1_18WORKOUT-FOOT-TOE-STRENGTH6_wg_720p.mp4&_vdd=video%40nytimes.com&_vs=s2&_vt=ct&_vap=&_vtn=&_vd=16808&sn=8&sv=BuuZeUDZglQPBLFmlYDE2lADDnIRDn&sr=external&sd=1&im=06672ff3&_,resource,503993.59999999404,24.599999994039536,504018.1999999881
dfp-ad-top-timeCalled,mark,504017.09999999404,,504017.09999999404
dfp-ad-top-timeCallSent,mark,504037.40000000596,,504037.40000000596
,layout-shift,504043.5,,504043.5
https://a.et.nytimes.com/track,resource,503876.7999999821,118,503994.7999999821
https://a.et.nytimes.com/track,resource,503963.90000000596,48.79999998211861,504012.6999999881
https://a.et.nytimes.com/track,resource,503982.09999999404,48.19999998807907,504030.2999999821
https://a.et.nytimes.com/track,resource,503985.59999999404,48.80000001192093,504034.40000000596
https://a.et.nytimes.com/track,resource,503992.2999999821,47.30000001192093,504039.59999999404
https://cdn.brandmetrics.com/tag/85a1ebf79602421aa1c2c2f24d32cb6c/nyt.js,resource,504058.40000000596,1.0999999940395355,504059.5
https://rtb.openx.net/openrtbb/prebidjs,resource,504011.7999999821,68.40000000596046,504080.1999999881
https://vp.nyt.com/video/2024/07/17/120988_1_18WORKOUT-FOOT-TOE-STRENGTH6_wg_720p.mp4,resource,504045,46.19999998807907,504091.1999999881
https://pnytimes.chartbeat.net/ping?h=nytimes.com&p=nytimes.com%2F&u=DL5WfiBH3pv6BjD-7W&d=nytimes.com&g=16698&g0=Homepage&g1=No%20Author&g6=%2F29390238%2Fnyt%2Fhomepage%7C%7C5&n=0&f=f0033&c=0&x=0&m=0&y=13649&o=1228&w=959&j=45&R=1&W=0&I=0&E=0&e=0&v=https%3A%2F%2Fnytimes.com%2F&vp=1&PA=https%3A%2F%2Fwww.nytimes.com%2F&b=2503&t=C1aIGSDtGrmCVH2LzBzIb3yCa7sym&V=147&z=t%3DDUNm2LCC-aBuVht71Da95mMD9uxED%26E%3D0%26x%3D0%26c%3D8.38%26y%3D13649%26w%3D959&i=The%20New%20York%20Times%20-%20Breaking%20News%2C%20US%20News%2C%20World%20News%20and%20Videos&tz=240&_acct=anon&_vi=&_vp=https://vp.nyt.com/video/2024/07/17/120988_1_18WORKOUT-FOOT-TOE-STRENGTH6_wg_720p.mp4&_vdd=video%40nytimes.com&_vs=s2&_vt=ct&_vap=&_vtn=&_vd=16808&sn=1&sv=BuuZeUDZglQPBLFmlYDE2lADDnIRDn&sr=external&sd=2&im=06e72ff3&_,resource,504065.1999999881,31.5,504096.6999999881
https://bidder.criteo.com/cdb?ptv=144&profileId=185&av=36&wv=8.50.0&cb=22738703399,resource,504017,86,504103
https://bidder.criteo.com/csm/events,resource,504106.6999999881,12.800000011920929,504119.5
https://td.doubleclick.net/td/fls/rul/activityi;fledge=1;src=5290727;type=allpa0;cat=nyti-0;ord=1;num=7351532868033;npa=0;gcldc=CjwKCAjwqf20BhBwEiwAt7dtdYqimtZsA3Z_s1_jwOkziJ2WSkGK5lBt_zeeqxThRjyQn2a5CYAXRhoC7ZEQAvD_BwE;gclaw=CjwKCAjwqf20BhBwEiwAt7dtdYqimtZsA3Z_s1_jwOkziJ2WSkGK5lBt_zeeqxThRjyQn2a5CYAXRhoC7ZEQAvD_BwE;auiddc=855005159.1721313607;u17=https%3A%2F%2Fwww.nytimes.com%2F;u5=;u18=anon;ps=1;pcor=955577330;uaa=arm;uab=64;uafvl=Not%252FA)Brand%3B8.0.0.0%7CChromium%3B126.0.6478.127%7CGoogle%2520Chrome%3B126.0.6478.127;uamb=0;uam=;uap=macOS;uapv=14.5.0;uaw=0;pscdl=noapi;frm=0;gtm=45fe47h0v9181657669z872703797za201zb72703797;gcs=G111;gcd=13t3t3t3t5;dma=0;tag_exp=95250753;epver=2;~oref=https%3A%2F%2Fwww.nytimes.com%2F?,resource,504064.59999999404,50.80000001192093,504115.40000000596
https://ad.doubleclick.net/activity;register_conversion=1;src=5290727;type=allpa0;cat=nyti-0;ord=1;num=7351532868033;npa=0;gcldc=CjwKCAjwqf20BhBwEiwAt7dtdYqimtZsA3Z_s1_jwOkziJ2WSkGK5lBt_zeeqxThRjyQn2a5CYAXRhoC7ZEQAvD_BwE;gclaw=CjwKCAjwqf20BhBwEiwAt7dtdYqimtZsA3Z_s1_jwOkziJ2WSkGK5lBt_zeeqxThRjyQn2a5CYAXRhoC7ZEQAvD_BwE;auiddc=855005159.1721313607;u17=https%3A%2F%2Fwww.nytimes.com%2F;u5=;u18=anon;ps=1;pcor=955577330;uaa=arm;uab=64;uafvl=Not%252FA)Brand%3B8.0.0.0%7CChromium%3B126.0.6478.127%7CGoogle%2520Chrome%3B126.0.6478.127;uamb=0;uam=;uap=macOS;uapv=14.5.0;uaw=0;pscdl=noapi;frm=0;gtm=45fe47h0v9181657669z872703797za201zb72703797;gcs=G111;gcd=13t3t3t3t5;dma=0;tag_exp=95250753;epver=2;~oref=https%3A%2F%2Fwww.nytimes.com%2F?,resource,504065.1999999881,83.2000000178814,504148.40000000596
https://ssp-sync.criteo.com/user-sync/pixels,resource,504107.2999999821,40.70000001788139,504148
https://insight.adsrvr.org/track/pxl/?adv=bomn82o&ct=0:s2f54xh&fmt=3&ttl=43200&gtmcb=1785728506,resource,504064.90000000596,91.09999999403954,504156
https://hbopenbid.pubmatic.com/translator?source=prebid-client,resource,504009.09999999404,212.69999998807907,504221.7999999821
https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=12330&site_id=378266&zone_id=2088372&size_id=2&alt_size_ids=55%2C57&p_pos=btf&rf=https%3A%2F%2Fwww.nytimes.com%2F&kw=news%2Cliveupdates%2Clatestnews%2Cbreakingnews%2Clocalnews%2Ccurrentevents%2Ctopstories%2Clivestream%2Clivevideo%2Cworldnews%2Cusnews&tg_i.domain=nytimes.com&tg_i.page=https%3A%2F%2Fwww.nytimes.com%2F&tg_i.invCode=nyt_home_mid1&tg_i.pbadslot=%2F29390238%2Fnyt%2Fhomepage&tk_flint=pbjs_lite_v8.50.0&l_pb_bid_id=63ffca066169cee&p_screen_res=1728x1117&rp_secure=1&rp_maxbids=1&p_gpid=%2F29390238%2Fnyt%2Fhomepage&m_ch_ua=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_full_ver=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_mobile=%3F0&m_ch_platform=macOS&slots=1&rand=0.13292868267154123,resource,504005.2999999821,265.80000001192093,504271.09999999404
https://5290727.fls.doubleclick.net/activityi;src=5290727;type=allpa0;cat=nyti-0;ord=1;num=7351532868033;npa=0;gcldc=CjwKCAjwqf20BhBwEiwAt7dtdYqimtZsA3Z_s1_jwOkziJ2WSkGK5lBt_zeeqxThRjyQn2a5CYAXRhoC7ZEQAvD_BwE;gclaw=CjwKCAjwqf20BhBwEiwAt7dtdYqimtZsA3Z_s1_jwOkziJ2WSkGK5lBt_zeeqxThRjyQn2a5CYAXRhoC7ZEQAvD_BwE;auiddc=855005159.1721313607;u17=https%3A%2F%2Fwww.nytimes.com%2F;u5=;u18=anon;ps=1;pcor=955577330;uaa=arm;uab=64;uafvl=Not%252FA)Brand%3B8.0.0.0%7CChromium%3B126.0.6478.127%7CGoogle%2520Chrome%3B126.0.6478.127;uamb=0;uam=;uap=macOS;uapv=14.5.0;uaw=0;pscdl=noapi;frm=0;gtm=45fe47h0v9181657669z872703797za201zb72703797;gcs=G111;gcd=13t3t3t3t5;dma=0;tag_exp=95250753;epver=2;~oref=https%3A%2F%2Fwww.nytimes.com%2F?,resource,504063.1999999881,208.40000000596046,504271.59999999404
https://secure.adnxs.com/getuid?https%3A%2F%2Fx.bidswitch.net%2Fsync%3Fdsp_id%3D480%26ssp%3Dthemediagrid%26user_id%3D%24UID%26&gdpr=&gdpr_consent=,resource,504148.90000000596,127.2999999821186,504276.1999999881
https://ib.adnxs.com/ut/v3/prebid,resource,504015,268.09999999403954,504283.09999999404
https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=12330&site_id=378266&zone_id=2088372&size_id=2&alt_size_ids=55%2C57&p_pos=btf&rf=https%3A%2F%2Fwww.nytimes.com%2F&kw=news%2Cliveupdates%2Clatestnews%2Cbreakingnews%2Clocalnews%2Ccurrentevents%2Ctopstories%2Clivestream%2Clivevideo%2Cworldnews%2Cusnews&tg_i.domain=nytimes.com&tg_i.page=https%3A%2F%2Fwww.nytimes.com%2F&tg_i.invCode=nyt_home_mid3&tg_i.pbadslot=%2F29390238%2Fnyt%2Fhomepage&tk_flint=pbjs_lite_v8.50.0&l_pb_bid_id=6555fad3f0bd85&p_screen_res=1728x1117&rp_secure=1&rp_maxbids=1&p_gpid=%2F29390238%2Fnyt%2Fhomepage&m_ch_ua=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_full_ver=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_mobile=%3F0&m_ch_platform=macOS&slots=1&rand=0.8715216214621848,resource,504005.90000000596,287.59999999403954,504293.5
https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=12330&site_id=378266&zone_id=2088372&size_id=2&alt_size_ids=55%2C57&p_pos=btf&rf=https%3A%2F%2Fwww.nytimes.com%2F&kw=news%2Cliveupdates%2Clatestnews%2Cbreakingnews%2Clocalnews%2Ccurrentevents%2Ctopstories%2Clivestream%2Clivevideo%2Cworldnews%2Cusnews&tg_i.domain=nytimes.com&tg_i.page=https%3A%2F%2Fwww.nytimes.com%2F&tg_i.invCode=nyt_home_mid2&tg_i.pbadslot=%2F29390238%2Fnyt%2Fhomepage&tk_flint=pbjs_lite_v8.50.0&l_pb_bid_id=64526e41d40b626&p_screen_res=1728x1117&rp_secure=1&rp_maxbids=1&p_gpid=%2F29390238%2Fnyt%2Fhomepage&m_ch_ua=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_full_ver=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_mobile=%3F0&m_ch_platform=macOS&slots=1&rand=0.765320380521892,resource,504005.6999999881,299,504304.6999999881
https://a.et.nytimes.com/track,resource,504259,51.900000005960464,504310.90000000596
https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=12330&site_id=378266&zone_id=2088370&size_id=2&alt_size_ids=55%2C57&p_pos=atf&rf=https%3A%2F%2Fwww.nytimes.com%2F&kw=news%2Cliveupdates%2Clatestnews%2Cbreakingnews%2Clocalnews%2Ccurrentevents%2Ctopstories%2Clivestream%2Clivevideo%2Cworldnews%2Cusnews&tg_i.domain=nytimes.com&tg_i.page=https%3A%2F%2Fwww.nytimes.com%2F&tg_i.invCode=nyt_home_top&tg_i.pbadslot=%2F29390238%2Fnyt%2Fhomepage&tk_flint=pbjs_lite_v8.50.0&l_pb_bid_id=6247a1aa8c7ede9&p_screen_res=1728x1117&rp_secure=1&rp_maxbids=1&p_gpid=%2F29390238%2Fnyt%2Fhomepage&m_ch_ua=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_full_ver=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_mobile=%3F0&m_ch_platform=macOS&slots=1&rand=0.2941476254506825,resource,504004.7999999821,313,504317.7999999821
https://fastlane.rubiconproject.com/a/api/fastlane.json?account_id=12330&site_id=378266&zone_id=2088374&size_id=2&alt_size_ids=55%2C57&p_pos=btf&rf=https%3A%2F%2Fwww.nytimes.com%2F&kw=news%2Cliveupdates%2Clatestnews%2Cbreakingnews%2Clocalnews%2Ccurrentevents%2Ctopstories%2Clivestream%2Clivevideo%2Cworldnews%2Cusnews&tg_i.domain=nytimes.com&tg_i.page=https%3A%2F%2Fwww.nytimes.com%2F&tg_i.invCode=nyt_home_bottom&tg_i.pbadslot=%2F29390238%2Fnyt%2Fhomepage&tk_flint=pbjs_lite_v8.50.0&l_pb_bid_id=666d6786d5e62e5&p_screen_res=1728x1117&rp_secure=1&rp_maxbids=1&p_gpid=%2F29390238%2Fnyt%2Fhomepage&m_ch_ua=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_full_ver=%22Not%2FA)Brand%22%7Cv%3D%228%22%2C%22Chromium%22%7Cv%3D%22126%22%2C%22Google%20Chrome%22%7Cv%3D%22126%22&m_ch_mobile=%3F0&m_ch_platform=macOS&slots=1&rand=0.9439026030369513,resource,504006.1999999881,334.90000000596046,504341.09999999404
https://prebid.media.net/rtb/prebid?cid=8CU4WQK98,resource,504013.2999999821,338,504351.2999999821
https://tlx.3lift.com/header/auction?lib=prebid&v=8.50.0&referrer=https%3A%2F%2Fwww.nytimes.com%2F&tmax=800,resource,504007.1999999881,397.09999999403954,504404.2999999821
dfp-ad-top-timeReceived,measure,504017.09999999404,592.8000000119209,504609.90000000596
dfp-ad-top-timeRendered,measure,504017.09999999404,616,504633.09999999404
